standard_num,level,standard_name,drafts_name,publish_date,status
JB/T 3578-2007,行业标准,滑动导轨环氧涂层材料 技术通则,广州机械科学研究院,2007-10-08,现行
JB/T 3579-2007,行业标准,环氧涂层滑动导轨 通用技术条件,广州机械科学研究院,2007-10-08,现行
JB/T 3585.1-2013,行业标准,感应同步器 第1部分：术语,"广州机械科学研究院有限公司,全国量具量仪标准化技术委员会数显装置分技术委员会",2013-04-25,现行
JB/T 3585.2-2013,行业标准,感应同步器 第2部分：型式和基本尺寸,"广州机械科学研究院有限公司,全国量具量仪标准化技术委员会数显装置分技术委员会",2013-04-25,现行
JB/T 3586-2013,行业标准,角位移感应同步器 基本参数和技术要求,"广州机械科学研究院有限公司,全国量具量仪标准化技术委员会数显装置分技术委员会",2013-04-25,现行
JB/T 3587-2013,行业标准,标准型和窄型线位移感应同步器 基本参数和技术要求,"广州机械科学研究院有限公司,全国量具量仪标准化技术委员会数显装置分技术委员会",2013-04-25,现行
JB/T 3663.2-2011,行业标准,重型卧式车床 第2部分：型式与参数,"武汉重型机床集团有限公司,齐重数控装备股份有限公司",2011-05-18,现行
JB/T 3665.1-2011,行业标准,单柱、双柱立式车床 第1部分：型式与参数,"武汉重型机床集团有限公司,齐重数控装备股份有限公司",2011-05-18,现行
JB/T 3687.1-2012,行业标准,矿用座式振动筛 第1部分：系列型谱,"中信重工机械股份有限公司,河南太行振动机械股份有限公司",2012-05-24,现行
JB/T 3687.2-2012,行业标准,矿用座式振动筛 第2部分：技术条件,"中信重工机械股份有限公司,河南太行振动机械股份有限公司",2012-05-24,现行
JB/T 3819-2014,行业标准,粉末制品液压机 精度,"合肥合锻机床股份有限公司,天津市天锻压力机有限公司",2014-05-12,现行
JB/T 3997-2011,行业标准,金属切削机床灰铸铁件 技术条件,四川长征机床集团有限公司,2011-05-18,现行
JB/T 4174-2014,行业标准,液压机 名词术语,"合肥合锻机床股份有限公司,天津市天锻压力机有限公司",2014-07-14,现行
JB/T 4215-2008,行业标准,渗硼,"北京机电研究所,武汉材料保护研究所",2008-06-04,现行
JB/T 4366.1-2011,行业标准,落地铣镗床 主轴端部 第1部分：镗轴端部尺寸,"齐齐哈尔二机床(集团)有限公司,武汉重型机床集团有限公司",2011-05-18,现行
JB/T 4366.2-2011,行业标准,落地铣镗床 主轴端部 第2部分：铣轴端部尺寸,"齐齐哈尔二机床(集团)有限公司,武汉重型机床集团有限公司",2011-05-18,现行
JB/T 4366.3-2011,行业标准,落地铣镗床 主轴端部 第3部分：主轴端面键尺寸,"齐齐哈尔二机床(集团)有限公司,武汉重型机床集团有限公司",2011-05-18,现行
JB/T 4367.1-2011,行业标准,落地镗、落地铣镗床 第1部分：型式与参数,"齐齐哈尔二机床(集团)有限公司,武汉重型机床集团有限公司",2011-05-18,现行
JB/T 5063-2014,行业标准,搬运机器人 通用技术条件,"广州数控设备有限公司,北京机械工业自动化研究所",2014-07-14,现行
JB/T 5327-2014,行业标准,锗锰铜电阻合金裸线及聚酯漆包线,重庆材料研究院有限公司,2014-07-14,现行
JB/T 5328-2014,行业标准,镍铬基精密电阻合金裸线及聚酯漆包线,"重庆材料研究院有限公司,江苏华鑫合金有限公司",2014-07-14,现行
JB/T 5401-2013,行业标准,消耗型钨铼热电偶丝,"重庆材料研究院,无锡市国涛钨铼合金厂,苏州市技术监督情报所",2013-04-25,现行
JB/T 5402-2013,行业标准,消耗型钨铼热电偶丝热电动势测试方法,"重庆材料研究院,无锡市国涛钨铼合金厂,苏州市技术监督情报所",2013-04-25,现行
JB/T 5403-2014,行业标准,直焊性聚氨酯漆包圆电阻线,重庆材料研究院有限公司,2014-07-14,现行
JB/T 6086-2013,行业标准,数控龙门镗铣床 精度检验,"湖北沙洋重型机床有限公司,武汉重型机床集团有限公",2013-12-31,现行
JB/T 6105-2007,行业标准,数控机床液压泵站 技术条件,"广州宝力特液压密封有限公司,广州机械科学研究院",2007-10-08,现行
JB/T 6126-2010,行业标准,立式原料/熟料辊磨机,"沈阳重型机械集团有限公司,中信重工机械股份有限公司",2010-12-29,现行
JB/T 6563-2007,行业标准,管缆防护导套,广州机械科学研究院,2007-10-08,现行
JB/T 6987-2013,行业标准,制造资源计划MRPⅡ系统原型法软件开发规范,北京机械工业自动化研究所,2013-12-31,现行
JB/T 7349-2014,行业标准,水轮机不锈钢叶片铸件,"中国第一重型机械股份公司,二重集团(德阳)重型装备股份有限公司",2014-05-12,现行
JB/T 7414.2-2006,行业标准,立式立体仿形铣床 第2部分：技术条件,自贡长征机床有限公司,2006-08-16,现行
JB/T 7451-2007,行业标准,静压支撑润滑系统供油装置 技术条件,广州机械科学研究院,2007-10-08,现行
JB/T 7452-2007,行业标准,数控机床润滑系统供油装置 技术条件,广州机械科学研究院,2007-10-08,现行
JB/T 7455-2007,行业标准,机床涂装用不饱和聚酯腻子,广州机械科学研究院,2007-10-08,现行
JB/T 7491-2014,行业标准,热电偶用二硅化钼保护管,"重庆材料研究院有限公司,乐清市华东仪表厂",2014-07-14,现行
JB/T 7495-2014,行业标准,热电偶用补偿电缆,"常州市潞城伟业合金厂,重庆材料研究院有限公司",2014-07-14,现行
JB/T 8331-2011,行业标准,万能回转头铣床 精度检验,"北京第一机床厂,四川长征机床集团有限公司",2011-05-18,现行
JB/T 8418-2008,行业标准,粉末渗金属,"爱协林工业炉工程(北京)有限公司,武汉材料保护研究所",2008-06-04,现行
JB/T 8419-2008,行业标准,热处理工艺材料分类及代号,"北京机电研究所,武汉材料保护研究所",2008-06-04,现行
JB/T 8422-2013,行业标准,机械工业（制造业）MRPⅡ系统结构,北京机械工业自动化研究所,2013-12-31,现行
